127.0.0.1 - - [09/Jul/2019:11:42:45 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Jul/2019:11:42:45 -0500] "GET /Setup/ HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [09/Jul/2019:13:32:49 -0500] "GET /Setup/Demo.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Jul/2019:13:47:54 -0500] "GET /Setup/Demo.jsp HTTP/1.1" 500 2507
0:0:0:0:0:0:0:1 - - [09/Jul/2019:13:52:24 -0500] "GET /Setup/Demo.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [09/Jul/2019:13:57:26 -0500] "GET /Setup/Demo.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [09/Jul/2019:14:01:59 -0500] "GET /Setup/Demo.jsp HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [09/Jul/2019:14:02:04 -0500] "GET /Setup/Demo.jsp HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [09/Jul/2019:14:02:07 -0500] "GET /Setup/Demo.jsp HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [09/Jul/2019:14:02:09 -0500] "GET /Setup/Demo.jsp HTTP/1.1" 200 711
